#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,PF
857,Armon Harried,BNGH,30,31.8,11.2,3.9,9.3,0.421,0.5,1.5,0.333,2.9,4.3,0.667,1.5,4.2,5.7,2.7,0.7,0.5,2.1,2.4,
858,Donovan Atwell,UNCG,32,29.2,11.2,3.7,8.7,0.419,2.8,6.6,0.42,1.1,1.2,0.947,1.1,1.7,2.8,0.6,0.8,0.1,0.7,2.3,
859,Ahmad Henderson II,NIAG,32,26,11.2,3.8,10.4,0.366,1.2,4.1,0.295,2.4,2.8,0.844,0.3,2.1,2.4,1.9,0.7,0,1.3,1.7,
860,Justice Hill,LOYMR,23,29.2,11.2,4.2,10.2,0.41,1.6,4.4,0.363,1.3,1.6,0.784,0.4,1.5,1.9,4.2,0.5,0.1,1.9,1.4,
861,Donta Scott,UMD,33,30.2,11.2,3.8,9.2,0.407,1.6,4.8,0.335,2.1,2.6,0.812,1.3,3.4,4.7,1.1,0.7,0.5,1.3,1.9,
862,"Jameer Nelson, Jr.",TCU,34,25,11.2,3.8,8.7,0.434,1,3.2,0.306,2.6,3.6,0.738,0.2,2.4,2.6,3.3,2.1,0.4,2.3,2,
863,Jalon Moore,OKLA,31,25.6,11.2,3.9,7.5,0.517,0.8,2,0.41,2.6,3.5,0.734,2.1,4.6,6.7,0.5,0.6,1,1.6,2.4,
864,Isaiah Bigelow,RICH,33,26.4,11.2,3.8,8.8,0.438,1.5,3.9,0.372,2,2.5,0.807,0.7,5.7,6.5,0.7,0.9,0.3,0.8,2.5,
865,Butta Johnson,UAB,34,30.9,11.2,3.8,8.9,0.429,1.6,4.6,0.359,1.9,2.3,0.821,0.6,1.7,2.3,1.7,0.4,0.2,1.3,1.6,
866,Jayden Taylor,NCST,41,27.4,11.2,3.5,8.4,0.413,1.6,4.3,0.364,2.6,3.5,0.755,0.6,3,3.6,1.3,1.1,0.5,1.5,1.8,
867,Steven Crowl,UWISC,36,28.9,11.2,4.3,7.8,0.556,0.7,1.6,0.448,1.8,2.5,0.742,2.4,4.9,7.3,2.1,0.3,0.5,1.7,2.6,
868,Rylan Griffen,UA,36,26.3,11.2,3.7,8.1,0.454,2.1,5.3,0.392,1.8,2.2,0.81,0.9,2.4,3.4,1.9,0.5,0.3,1.4,2.1,
869,Quentin Millora-Brown,CTDL,32,32.3,11.2,4.4,7.5,0.594,0.1,0.6,0.15,2.2,4,0.547,3.2,6.2,9.4,2,0.7,1.5,1.7,2.3,
870,Javohn Garcia,MCNST,32,26.8,11.2,3.8,8.2,0.462,1.3,2.8,0.444,2.3,3.1,0.75,0.7,2.5,3.3,1.7,1.3,0.4,0.8,3,
871,Harlond Beverly,WICHI,33,30.4,11.2,4.5,10.1,0.443,0.5,2,0.258,1.7,2.6,0.655,0.8,4.2,5.1,3.1,1.4,0.4,2.6,2.2,
872,Alejandro Vasquez,UAB,34,23,11.1,3.9,8.8,0.44,1.2,3.1,0.394,2.2,2.8,0.809,1.3,2.1,3.4,1.1,0.6,0.3,1.2,2,
873,Steven Ashworth,CREI,35,31.8,11.1,3.5,8.8,0.394,2.3,6.5,0.349,1.9,2.1,0.907,0.3,3,3.3,4.2,0.5,0,1.5,1.9,
874,Tyreke Locure,ULM,30,29.3,11.1,3.5,9.9,0.35,1.6,4.5,0.353,2.6,4,0.645,0.6,3.4,4,3.2,1.9,0.1,2,3.1,
875,Will Johnston,LOYMR,31,28.9,11.1,3.8,9.5,0.401,2.1,5.5,0.378,1.4,1.7,0.815,0.2,2.2,2.5,2.7,0.6,0,1.4,2.1,
876,Julius Mims,IDAHO,32,27.6,11.1,4.7,7.4,0.633,0.6,1.7,0.333,1.2,2.1,0.559,1.8,5.4,7.2,1,1.1,1.5,1.4,2.4,
877,Ty Berry,NWU,24,28.5,11.1,3.7,8.3,0.449,2.3,5.3,0.433,1.4,1.6,0.895,0.5,3.3,3.8,1.4,1.3,0,1.1,2,
878,Bez Mbeng,YALE,33,32.4,11.1,4,9.4,0.421,1,4,0.252,2.2,3.2,0.686,0.5,3.6,4.2,4.1,1.9,0.3,1.8,2,
879,Toby Okani,UIC,33,32.3,11.1,4.2,10.7,0.394,1,3.1,0.32,1.7,3,0.571,1.5,5.3,6.8,1.9,1.5,2,2.6,2.9,
880,Issa Muhammad,UTM,28,29.5,11.1,4.6,9,0.51,0.1,0.5,0.267,1.8,2.8,0.62,2.8,6.5,9.4,1.8,0.9,0.8,1.7,2.1,
881,Justin Wright,LOYMR,29,26.4,11.1,4.2,8.7,0.49,0.6,1.8,0.308,2.1,2.6,0.811,0.4,3,3.4,1.9,0.5,0.1,1.3,2,
882,Ahren Freeman,UTRGV,20,24.7,11.1,4.3,7.6,0.563,0.1,0.5,0.111,2.6,3.8,0.68,2.1,3.7,5.7,1,0.7,0.6,2.6,3.1,
883,Casey Morsell,NCST,41,32.2,11.1,3.9,9.6,0.406,0.9,3.3,0.27,2.4,3,0.806,1.1,1.7,2.8,1.6,1.1,0.5,0.9,2.1,
884,Koren Johnson,UWASH,31,24.2,11.1,4,9,0.441,1.3,3.5,0.373,1.8,2.5,0.722,0.7,1.5,2.2,2.7,1.2,0.3,1.4,2.2,
885,Nick Honor,MZZOU,32,31.3,11.1,3.4,9.7,0.354,2.3,6.3,0.365,1.9,2.3,0.861,0.4,0.8,1.2,1.7,0.9,0.1,1.3,2,
886,Koby Brea,DAY,33,29,11.1,3.8,7.5,0.512,3,6.1,0.498,0.4,0.5,0.875,0.3,3.4,3.8,1.2,0.5,0.3,0.7,0.9,
887,Jaxon Brenchley,DEN,34,29.2,11.1,3.8,7.4,0.512,0.9,2.1,0.414,2.6,3.6,0.732,1.5,4.1,5.6,2.8,1.2,0.4,1,1.5,
888,Stephon Castle,UConn,34,27,11.1,4,8.5,0.472,0.6,2.2,0.267,2.4,3.2,0.755,1.7,3,4.7,2.9,0.8,0.5,1.5,2.4,
889,Nakyel Shelton,EIU,29,26.9,11,4,9.6,0.419,1.3,3.9,0.339,1.7,2.1,0.774,1.3,3.1,4.4,1.9,0.4,0.3,1.6,2.2,
890,Jamiya Neal,ASU,32,32.8,11,4.2,10.2,0.415,1.2,4.4,0.275,1.4,2.1,0.667,0.7,4.8,5.4,1.8,1.1,0.4,1.1,1.8,
891,Keegan Records,COLGT,33,25.6,11,4.5,8,0.567,0.2,0.6,0.238,1.8,2.5,0.735,2.2,3.9,6.2,1.2,0.6,1.2,1.2,2.4,
892,Jared Jones,MTSU,33,28.1,11,3.8,8.5,0.452,0.6,1.3,0.442,2.8,3.6,0.771,1.8,5.8,7.6,2.3,0.6,1.1,3.2,2.5,
893,Will Baker,LSU,33,23.5,11,4,8,0.502,0.8,2.1,0.357,2.2,3.1,0.723,1.7,3.1,4.8,0.8,0.3,0.6,1.8,1.9,
894,Paul Otieno,QUIN,34,27.1,11,4.6,7.2,0.638,0.1,0.2,0.333,1.7,2.6,0.678,3.4,3.6,6.9,0.5,1.2,1,1.2,2.5,
895,Cameron Brown,STJOE,35,32.3,11,4.1,9.8,0.415,2.3,6.4,0.368,0.6,0.8,0.69,1.2,2.9,4.1,1.3,1.1,0.2,0.9,1.9,
896,Aaron Deloney,UVM,35,26,11,3.8,9,0.425,1.6,4.7,0.337,1.8,2.2,0.816,0.5,2.1,2.6,3,0.4,0,1.1,1.6,
897,Curtis Jones,IWAST,37,26.9,11,3.8,9.7,0.39,2,5.6,0.351,1.5,1.8,0.809,0.3,2.6,2.9,2,1.4,0.1,0.8,1.7,
898,Julian Larry,INDST,39,34.4,11,3.7,7.1,0.525,1.1,2.3,0.462,2.5,3.2,0.78,0.5,2.4,2.8,4.8,1.5,0.1,2.1,2.2,
899,Aaron Scott,UNT,34,30.2,11,4,9.6,0.419,1.3,3.5,0.37,1.6,2.1,0.789,1.7,3.9,5.6,1.8,1.1,1.3,1.5,3,
900,Langston Love,BAYL,24,25,11,3.6,7.8,0.465,1.5,3.1,0.48,2.3,2.9,0.783,0.7,2.2,2.9,1.2,0.4,0.2,1,1.8,
901,Johnny O'Neil,SCU,33,25.7,11,4.2,9.5,0.435,1.6,4.9,0.325,1.1,1.6,0.66,1.3,4.2,5.5,1.6,0.8,0.8,1.4,2.3,
902,Noah Carter,MZZOU,32,26.1,11,3.8,9.4,0.401,1.2,4.1,0.288,2.2,2.8,0.798,1,3.8,4.8,1.4,0.8,0.8,1.2,2.5,
903,David Thomas,MER,31,22.9,11,4.4,9.7,0.452,1.1,2.8,0.402,1.1,1.5,0.717,0.7,1.7,2.4,2.3,0.6,0.1,1,2,
904,Bryce Monroe,IUI,30,30.1,11,4.1,10.4,0.393,0.6,2.3,0.279,2.1,2.7,0.8,0.3,1.7,2,2.6,0.9,0,2.3,1.6,
905,Jaron Rillie,NOCOL,28,34.1,11,4.1,8.8,0.469,0.9,2.6,0.342,1.9,2.6,0.712,0.4,3.7,4.1,4.6,1.1,0.2,2,2,
906,Micah Peavy,TCU,34,29.3,10.9,4.3,9.4,0.458,0.8,2.6,0.31,1.5,2.5,0.607,1.6,3.3,4.9,2.6,1.3,0.2,1.7,2.3,
907,Lynn Greer III,STJOE,32,29.7,10.9,3.8,8.6,0.447,0.4,1.4,0.304,2.8,3.7,0.769,1.2,3.5,4.7,3.7,1,0.1,2.4,1.8,
908,Fousseyni Traore,BYU,26,18.3,10.9,4.3,6.9,0.626,0.1,0.1,0.667,2.2,3.1,0.716,2,3.3,5.2,1.3,0.6,0.8,1.7,1.7,
909,Sam Brown,PENN,25,29.8,10.9,3.5,8.1,0.433,2.4,5.6,0.433,1.4,1.7,0.837,0.4,2.6,2.9,1.9,0.5,0.2,1.2,1.6,
910,"Chico Carter, Jr.",DEP,25,33.6,10.9,3.9,9.8,0.394,1.6,4.4,0.358,1.6,2.1,0.769,0.5,2.4,2.8,3.7,0.7,0.3,2.2,1.8,
911,Milan Momcilovic,IWAST,37,30.2,10.9,3.9,9.2,0.424,1.6,4.6,0.359,1.5,1.8,0.809,0.4,2.7,3.1,1.2,0.5,0.4,0.8,1.7,
912,Keenan Fitzmorris,SB,35,24.7,10.9,3.9,7.7,0.509,0.3,0.8,0.333,2.8,3.7,0.767,2.1,2.3,4.4,1,0.3,1.1,1.4,2.1,
913,Rob Higgins,ELON,23,30.2,10.9,4,8.6,0.462,0.9,2.7,0.339,2.1,2.4,0.857,0.4,1.7,2.2,3,1,0,1.7,1,
914,Charles Pride,STBN,30,30.1,10.9,3.6,8.3,0.44,1.4,3.5,0.4,2.2,2.7,0.827,2.3,3.4,5.7,1.6,1.2,0.1,0.7,1.6,
915,Dexter Akanno,ORST,30,28.5,10.9,3.5,8.9,0.39,1.3,3.9,0.325,2.7,3.8,0.704,0.5,2.4,2.9,1.3,0.9,0.2,1.6,2.1,
916,Kobe Johnson,USC,31,30.9,10.9,4.1,10.1,0.404,1.3,4.1,0.313,1.5,2,0.726,0.5,4.1,4.6,3.3,2.2,0.8,2.1,2.2,
917,Trey Anderson,SJSU,29,31.6,10.9,4.2,8.9,0.467,1.3,3.7,0.364,1.2,1.5,0.773,1.3,3.1,4.4,1.2,0.4,0.6,0.7,3,
918,C.J. Noland,UNT,29,26,10.9,3.8,8.8,0.437,1.1,3,0.384,2.1,3,0.69,0.4,2.4,2.8,2,1,0.2,1.8,2,
919,Yacine Toumi,UE,33,25.1,10.8,4.5,8.4,0.543,0.2,0.8,0.214,1.6,2.7,0.584,1.3,5.2,6.5,1.5,0.7,0.5,2.2,2.8,
920,Daylen Williams,UTRGV,31,33.6,10.8,3.3,7.3,0.456,0.4,1.4,0.256,3.8,5,0.768,1.5,5.7,7.2,2.5,1.3,0.5,2.4,2.2,
921,David Joplin,MARQ,37,27.6,10.8,3.8,9.2,0.413,1.9,5.5,0.355,1.3,1.9,0.681,0.7,3.2,3.9,0.6,0.8,0.9,1.2,1.8,
922,Christian May,TOWS,34,29.7,10.8,3.8,9.8,0.389,1.9,5.4,0.341,1.4,2.2,0.618,1.1,3,4.1,1,0.5,0.2,1.6,2.1,
923,Miles Brewster,BSTN,33,26.9,10.8,3.6,8.4,0.432,1.5,3.7,0.407,2,2.8,0.713,0.4,3.5,3.8,3.3,1.5,0.2,1.4,2.4,
924,Chance McMillian,TXTCH,33,27.9,10.8,3.8,8,0.475,2,5.1,0.387,1.2,1.3,0.909,1,3,4,1.2,0.7,0.2,0.7,1.5,
925,Jeremiah Quigley,IONA,33,28,10.8,3.7,9,0.414,0.5,1.5,0.333,2.8,3.7,0.77,0.5,2.8,3.3,3.3,0.8,0.1,1.7,2.2,
926,Elvin Edmonds IV,BUCK,27,34.3,10.8,3.9,9.3,0.416,1.1,4,0.284,2,2.6,0.768,0.2,3.2,3.4,4.4,1.4,0.1,2.5,2.4,
927,Dane Erikstrup,EWASH,32,18.8,10.8,3.5,8,0.432,1.2,3.6,0.342,2.7,3,0.876,1.1,2.2,3.3,1.6,0.8,0.5,1.4,3.1,
928,Braden Housley,SUU,31,34.7,10.8,3.7,9.7,0.377,1.3,4.9,0.272,2.1,3.4,0.629,0.5,3,3.5,3.6,1.6,0.4,2.3,2.8,
929,Elijah Wilborn,STFPA,30,25.6,10.8,4.1,7.5,0.54,0,0.2,0.167,2.6,4.7,0.56,2.9,4.5,7.4,1.7,0.8,1.6,1.9,3.2,
930,Sam Alexis,CHATT,33,26.4,10.8,4.5,8.2,0.55,0.4,1.6,0.269,1.3,2.8,0.484,2.7,6.4,9.1,1.8,0.3,2.1,1.8,2,
931,Laurynas Vaistaras,CAM,32,25.4,10.8,4.1,7.6,0.543,0.9,2.1,0.424,1.7,2.3,0.707,1.1,3.2,4.3,3.1,1.2,0.2,1.4,2.2,
932,Blaise Threatt,WEBER,32,24.1,10.8,4.2,7.7,0.549,0.6,1.7,0.352,1.8,2.5,0.7,1.2,2.3,3.5,2.1,1.1,0,1.4,1.9,
933,Mike Jones,STAN,32,30.4,10.8,3.7,7.3,0.5,1.8,4.2,0.418,1.7,2.4,0.714,0.4,2.2,2.6,2.1,0.9,0.1,1.1,2.1,
934,Dallion Johnson,FGCU,32,29.2,10.8,3.9,9.6,0.403,2.5,6.3,0.391,0.6,0.7,0.818,0.4,2.8,3.2,1,0.8,0,0.7,1.4,
935,Bo Montgomery,HC,26,31.2,10.8,3.8,9.3,0.411,1.2,3,0.397,2,2.8,0.689,0.8,3.9,4.7,2.7,0.6,0.2,2.7,2.5,
936,Tyrese Hunter,TEXAS,34,31.2,10.8,4,8.9,0.452,1.1,3.1,0.343,1.7,2.4,0.716,0.5,2.3,2.8,4,1.3,0.2,2.6,1.6,
937,Makaih Williams,UTA,34,24.4,10.8,3.3,7.5,0.445,1.3,2.8,0.453,2.9,3.8,0.758,0.7,2.1,2.9,2.8,0.9,0.2,2.9,3.1,
938,Nick Spinoso,PENN,29,28.3,10.8,4.6,9,0.51,0.1,0.6,0.118,1.5,3.2,0.473,1.9,6,7.9,3.7,0.7,1,2.7,2.3,
939,Nate Martin,MARSH,33,31.7,10.8,4.1,7.2,0.574,0,0,0,2.5,3.6,0.697,4.1,6,10.1,2.8,0.7,1.3,1.5,2.6,
940,Kyle Rose,FORD,33,28.5,10.8,3.6,8.4,0.428,2.1,5.2,0.398,1.5,2.3,0.645,1.2,3.7,4.8,2.3,2.1,0.4,1.5,2.9,
941,Rasheer Fleming,STJOE,35,26.8,10.7,4,7.6,0.528,1,3,0.324,1.7,2.8,0.612,2.5,4.9,7.4,0.8,0.8,1.5,1,2.6,
942,Derrick Butler,CMU,31,27.9,10.7,3.7,9,0.417,1.7,4,0.416,1.6,2.2,0.731,1.2,3,4.2,0.7,0.7,0.2,1,1.6,
943,Yves Missi,BAYL,34,23,10.7,4.1,6.7,0.614,0,0,0,2.5,4.1,0.616,2.6,3,5.6,0.4,0.6,1.5,1.1,2.4,
944,"James Dent, Jr.",WIU,33,26.4,10.7,3.1,9.7,0.319,1.5,5.1,0.299,3,4.2,0.725,0.6,3.3,3.9,1.7,0.8,0.2,1.7,1.4,
945,Sadaidriene Hall,SFA,18,20,10.7,4.3,7.9,0.538,0.2,0.9,0.25,1.9,2.8,0.7,1.3,3.4,4.8,1.2,0.9,0.3,1.8,1.7,
946,Damari Wheeler-Thomas,NDSU,32,33.9,10.7,3.9,8.7,0.451,0.8,2,0.369,2.2,2.6,0.831,0.2,2.1,2.3,2.5,0.6,0,1.6,2.7,
947,Brody Peebles,LBRTY,32,21.4,10.7,4,8.8,0.454,1.4,4.2,0.336,1.3,1.5,0.875,0.5,1.4,1.9,0.7,0.3,0,0.8,1,
948,Chance Moore,MZZST,31,26.8,10.7,3.7,9,0.412,1.4,4.8,0.295,1.9,3,0.617,1,4.3,5.3,0.5,0.7,0.9,0.8,1.5,
949,Tre Mitchell,UK,27,30.3,10.7,3.8,7.9,0.484,0.9,3,0.305,2.1,2.9,0.744,1.8,5.4,7.2,2.6,0.7,1,1.4,2.6,
950,A.J. Hoggard,MCHST,35,28.7,10.7,3.8,9.3,0.407,0.7,2.1,0.347,2.4,3.1,0.787,0.6,2.5,3.1,5.2,1.4,0.3,1.8,2.1,
951,Luis Rodriguez,UNLV,31,32.1,10.7,3.7,9,0.411,1.3,4.1,0.31,2,2.6,0.775,2.3,4.4,6.6,1.5,1.6,0.4,1.1,2.8,
952,Josh Pascarelli,MRST,31,27.1,10.7,4.1,9.3,0.438,2,5.3,0.378,0.5,0.8,0.654,0.2,2.8,3,1.4,0.2,0.1,1.3,1.1,
953,Alec Oglesby,STET,34,33.8,10.7,3.5,8.3,0.42,2.2,5.5,0.403,1.5,1.7,0.847,0.8,3.6,4.4,1.2,0.6,0.3,1,2.1,
954,Jack Collins,MONM,33,34.5,10.7,3.7,9,0.412,2,6.3,0.317,1.3,1.9,0.656,1.6,4.8,6.5,2.2,1.3,0.4,1.3,2.2,
955,Beon Riley,UTECH,24,28.5,10.7,3.7,7.5,0.497,0.5,1.3,0.406,2.7,3.3,0.813,1.7,3.8,5.5,1.8,1,0.1,1.5,3.4,
956,B.B. Knight,LAMAR,33,22.5,10.7,3.2,7.8,0.406,2,5.4,0.371,2.4,2.7,0.876,0.4,1.7,2,0.8,0.5,0.1,1.5,2,
957,"Femi Odukale, Jr.",NMSU,26,28.7,10.7,3.8,8.7,0.432,0.5,1.6,0.31,2.6,5.3,0.496,1.8,4.6,6.4,3,1.1,1,2.2,3,
958,"Rodney Johnson, Jr.",TNTCH,26,26.8,10.7,4.5,9.7,0.458,0.6,2.4,0.258,1.1,1.3,0.829,1.2,3.8,5.1,0.7,0.4,1,1.3,1.6,
959,"Eddie Lampkin, Jr.",COLO,37,27.8,10.6,4.3,7.4,0.579,0,0,0,2.1,3.2,0.661,2.5,4.5,7,2.2,0.3,0.1,2.6,2.2,
960,Owen Freeman,IOWA,34,22.8,10.6,4.3,6.9,0.614,0,0.1,0,2.1,3.2,0.661,2.4,4.2,6.6,1.2,0.9,1.8,1.1,2.7,
961,Otis Frazier III,UTEP,34,27.6,10.6,3.6,7.5,0.488,0.7,2.4,0.288,2.7,4.1,0.655,1.7,3,4.7,1.8,2.2,0.3,1.2,1.7,
962,Kendall Blue,STTOM,33,28.1,10.6,4.1,8.2,0.496,1.2,3.8,0.32,1.3,2,0.662,0.4,3.7,4.1,1.6,0.8,0.3,1,1.2,
963,Trevin Knell,BYU,33,24.2,10.6,3.5,7.7,0.453,2,5.3,0.385,1.6,2.1,0.771,0.5,2.8,3.4,1.3,0.6,0.1,0.6,2.5,
964,Jake Kyman,EWASH,32,27.3,10.6,3.6,8.4,0.428,2.1,5.2,0.406,1.3,1.6,0.827,0.3,2.3,2.6,2.1,0.5,0.2,1.1,1.3,
965,Fletcher Abee,UNCA,34,28.2,10.6,3.5,8.6,0.409,2.2,5.4,0.408,1.4,1.5,0.96,0.2,1.4,1.6,1.3,0.5,0.1,0.8,1.7,
966,Tyler Wahl,UWISC,36,28.4,10.6,4.1,7.6,0.535,0.1,0.4,0.188,2.4,3.7,0.659,1.9,3.5,5.4,1.9,1.1,0.6,1.7,2.6,
967,Jo'el Emanuel,FDU,32,29.7,10.6,3.3,7.4,0.453,0.4,1.7,0.264,3.5,5.2,0.669,2.5,2.7,5.2,1.8,1,0.2,1.8,2.3,
968,A.J. George,LBSU,36,28.1,10.6,4,7.6,0.533,0.3,0.9,0.344,2.2,3.1,0.721,1.2,2.9,4.1,1.5,0.7,0.5,1.5,1.3,
969,Kerr Kriisa,WVU,24,31.9,10.6,3.4,7.9,0.429,2.5,6,0.424,1.3,1.7,0.775,0,2.3,2.4,4.5,0.8,0,2.8,2.4,
970,Primo Spears,FLAST,24,22.7,10.6,3.9,9.9,0.392,0.7,2.5,0.267,2.2,2.8,0.765,0.3,1.3,1.6,2.1,1.2,0,1.9,1.3,
971,Taeshaud Jackson II,VMI,31,29.6,10.6,3.7,8.4,0.446,1,3.1,0.33,2.1,3.3,0.634,2.6,7.7,10.4,1.2,1.3,0.4,2,2.7,
972,Trey Galloway,IU,31,33.4,10.6,4.2,9.1,0.466,0.8,3.2,0.26,1.3,2.4,0.533,0.9,2,2.9,4.6,1.2,0.2,2.1,1.7,
973,Daeshon Shepherd,LASAL,33,32.5,10.6,3.9,9,0.439,1.1,3.5,0.307,1.6,2.4,0.675,1.3,4.3,5.6,0.7,0.8,0.7,0.8,1.7,
974,Themus Fulks,LA,29,29.6,10.6,3.9,9.7,0.404,0.3,1.3,0.256,2.3,3,0.773,0.6,2.2,2.8,4.4,1.3,0.1,2.7,2.4,
975,Donovan Sanders,MVSU,30,30.7,10.5,4,11,0.365,0.8,2.9,0.264,1.8,2.6,0.679,0.7,2.3,3,2.8,2.1,0.1,3.2,1.9,
976,Peter Suder,BELL,31,31.9,10.5,3.8,9.2,0.411,0.6,2.4,0.24,2.4,3.3,0.725,0.8,3.5,4.3,3.3,1.2,0.3,2.2,2.9,
977,Adam Hamilton,LAMAR,32,21.6,10.5,4.4,7.9,0.563,0,0,0,1.6,2.6,0.619,2.7,4,6.7,1.7,0.5,1.1,1.6,2.6,
978,Supreme Cook,GTOWN,32,27.2,10.5,3.9,6.8,0.575,0,0,0,2.6,4.6,0.571,3.8,4.2,8,0.6,0.8,0.5,1.5,2.7,
979,P.J. Hayes IV,SAND,32,25.7,10.5,3.3,7.7,0.425,2.3,5.8,0.397,1.7,2.1,0.791,0.5,2.6,3.1,1.1,0.7,0.2,0.8,1.7,
980,Jayden Nunn,BAYL,35,28.7,10.5,3.3,7.3,0.455,1.4,3.3,0.439,2.4,3.3,0.709,0.3,2.3,2.6,2,1.3,0.4,1.4,2.2,
981,Langdon Hatton,BELL,31,27.8,10.5,4.2,8.7,0.48,0.5,1.5,0.333,1.7,2.5,0.675,2,5.1,7.1,1.3,0.2,0.8,1,1.5,
982,Kooper Jacobi,EIU,17,29.4,10.5,4.2,9.6,0.439,0.9,2.6,0.333,1.1,2.1,0.528,2.8,4.9,7.7,1.6,0.7,0.4,1,2.4,
983,Tyrese Proctor,DUKE,32,30.4,10.5,3.8,8.9,0.423,1.8,5.2,0.352,1.2,1.5,0.755,0.1,2.9,3,3.7,0.7,0.1,1.3,1.6,
984,Aundre Hyatt,RUTG,32,25.9,10.5,3.4,9,0.376,1.5,4.9,0.312,2.2,3,0.737,1.2,3.4,4.6,1.2,1,0.5,1,1.8,
985,Tahron Allen,WAGNR,32,27.6,10.5,3.8,9.4,0.405,0.8,1.8,0.441,2,2.9,0.707,1.8,3.2,5.1,0.9,0.6,0.2,1.3,2.4,
986,Collin Murray-Boyles,SOCAR,28,22.6,10.4,4.2,7,0.597,0,0.2,0,2.1,3.1,0.667,2.4,3.3,5.7,1.8,1,1,1.2,2.4,
987,Jaquan Carlos,HOF,33,35.5,10.4,3.5,8.6,0.413,1.3,3.9,0.344,2,2.2,0.892,0.4,4,4.4,6.3,1.6,0.1,2.6,2.2,
988,Kolby King,TULAN,31,27.4,10.4,3.5,7.5,0.476,1.3,3.3,0.379,2.1,2.7,0.762,0.8,2.8,3.6,1.8,1.4,0.4,1.3,1.9,
989,Derrian Ford,ARKST,36,29.2,10.4,3.6,8.7,0.411,1.8,4.7,0.376,1.5,2,0.746,1.5,2.8,4.4,1.5,0.6,0,1,1.4,
990,Shannon Grant,FAMU,29,22.8,10.4,4.4,7.6,0.586,0,0,0,1.5,2.6,0.595,1.4,3,4.4,0.7,0.5,0.7,1.6,2.2,
991,Cliff Omoruyi,RUTG,32,26.9,10.4,4.1,7.9,0.512,0,0.2,0.2,2.3,3.7,0.61,2.6,5.8,8.3,0.5,0.7,2.9,1.4,2.6,
992,Jasin Sinani,CAM,32,29.1,10.4,3.5,7.5,0.467,1.4,3.8,0.374,2,2.2,0.887,0.7,3.5,4.2,2.3,0.8,0.3,1.6,1.8,
993,Patrick Cartier,COLST,35,23.1,10.4,3.9,7.6,0.517,0.9,2.5,0.36,1.6,1.9,0.848,0.8,1.9,2.7,1.9,0.5,0.2,1.1,2.2,
994,Nik Graves,CHAR,30,29.7,10.4,3.1,6.7,0.455,0.8,2.3,0.329,3.5,4.4,0.802,0.5,2.6,3.1,2.8,1,0.1,1.1,2.6,
995,Damian Forrest,UNA,31,28.9,10.4,4.3,7.1,0.606,0,0,0,1.7,2.6,0.667,2.5,5.7,8.2,0.8,0.6,0.7,1.3,2.8,
996,Nate Lliteras,UNF,31,26.9,10.4,3.8,8.5,0.447,1.6,4.6,0.354,1.2,1.5,0.771,0.9,3.3,4.2,1.2,0.8,0.7,1.3,1.6,
997,B. Artis-White,WMY,26,27.5,10.4,3.5,9.3,0.379,2.2,5.6,0.386,1.2,1.5,0.75,0.3,2.9,3.2,3.2,1,0.1,2.1,2.1,
998,Nick Johnson,WIN,32,27.8,10.4,3.1,7.4,0.419,1.1,3.1,0.354,3.1,5,0.623,1,2.5,3.5,1.7,1.4,0.3,1.8,2,
999,Kentrell Pullian,UWM,35,28.8,10.4,3.4,8.4,0.41,1.2,4.3,0.275,2.3,3.1,0.759,1.6,3.1,4.7,2.1,1,0.1,1.3,2.6,
1000,Jaden Akins,MCHST,35,28.4,10.4,4,9.8,0.41,1.8,5,0.364,0.5,0.7,0.739,1.1,2.7,3.9,1.2,1.1,0.4,1,1.7,
