#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,PF
500,Brice Williams,UNL,34,29.7,13.4,4.2,9.5,0.444,1.5,3.8,0.388,3.5,4.1,0.844,0.9,4.6,5.5,2.5,1.1,0.6,1.8,2.6,
501,Chuck Harris,SMU,32,29.8,13.4,4.8,11.1,0.432,2.1,5.2,0.407,1.7,2.1,0.818,0.8,2.4,3.2,3.4,1,0.2,1.9,2.1,
502,Jalen Cone,Cal,32,35.7,13.4,3.9,11.8,0.332,2.8,8.7,0.319,2.8,3.4,0.817,0.3,1.8,2.1,2.3,0.6,0.1,1.3,1.5,
503,Cam Gregory,STFPA,19,32.7,13.4,5,11.5,0.436,1.5,4.3,0.354,1.8,2.5,0.729,0.7,2.2,2.9,2.7,1.2,0.4,2.6,2.1,
504,Aaron Estrada,UA,37,30.9,13.4,5.3,11.9,0.449,1.4,4.3,0.313,1.4,1.6,0.847,1.6,3.8,5.4,4.6,1.6,0.2,2.3,2,
505,Siem Uijtendaal,CAN,23,32.5,13.3,4.5,11.2,0.405,2,5.2,0.383,2.3,2.7,0.841,0.3,3.1,3.4,2.1,1.5,0.3,2.6,1.5,
506,Shereef Mitchell,OHIO,32,29.9,13.3,4.9,10.5,0.47,1.1,3.3,0.327,2.4,3.3,0.731,1.1,3.2,4.2,2.4,1.4,0.2,1.4,2.4,
507,T.J. Bickerstaff,JMU,36,23.4,13.3,5.2,8.4,0.619,0,0.1,0,2.9,4.8,0.62,2.6,5.8,8.4,1.7,1.1,0.4,1.8,2.4,
508,Javaunte Hawkins,FIU,33,26.8,13.3,4.5,11.2,0.398,2.7,6.9,0.384,1.8,2.2,0.806,0.3,1.8,2.2,2.3,1.2,0,1.5,1.6,
509,Javian McCollum,OKLA,30,31.1,13.3,4.4,10.9,0.404,1.8,5.7,0.314,2.7,2.9,0.943,0.1,2.4,2.6,3.4,0.8,0.1,2,1.5,
510,Tyler McGhie,UCSD,24,27.5,13.3,4.8,10.8,0.44,2.9,7,0.414,0.9,1.4,0.647,0.5,2.3,2.8,1.3,0.5,0.2,0.3,1.2,
511,J.J. Starling,SYRA,32,34.4,13.3,5.3,11.7,0.458,1.4,4.3,0.324,1.3,1.8,0.714,0.6,2.6,3.2,1.9,0.8,0.2,1.7,1.3,
512,Ryan Myers,WIU,32,30.2,13.3,4.2,11,0.384,2.6,6.4,0.4,2.3,2.8,0.813,0.6,1.9,2.5,2.1,0.4,0,2.3,1.9,
513,Ian Martinez,USU,34,30.8,13.3,4.2,8.9,0.474,1.6,4.1,0.381,3.3,3.9,0.856,0.4,3.3,3.6,1.8,0.9,0.8,1.8,2.6,
514,David Skogman,DAV,17,24.8,13.3,4.7,8.5,0.556,1.9,4,0.471,2,2.9,0.68,1.6,3.3,4.9,0.8,0.3,0.1,1.2,1.9,
515,Rashaun Agee,BGSU,33,27.5,13.3,4.8,8.4,0.57,0.1,0.4,0.231,3.6,5.3,0.68,3.8,6.1,9.9,1.6,0.9,0.8,2.2,2.8,
516,Daniel Rivera,BRYNT,33,31.5,13.3,5.6,11.1,0.503,0.1,0.8,0.107,2,4.3,0.469,1.7,6.4,8.1,2.2,1,2.2,1.8,2.8,
517,Troy Hupstead,UMES,26,25.8,13.3,4.7,10.8,0.438,0.8,2.5,0.328,3,4.3,0.696,2.7,5.8,8.5,1.1,0.6,0.6,2.2,3,
518,Bowen Born,UNI,31,27.6,13.3,4.3,11.4,0.376,1.7,5.5,0.32,2.9,3.3,0.883,0.4,2.1,2.5,1.8,1,0,1.2,1.7,
519,Toneari Lane,GAST,31,31.2,13.3,4.6,12.5,0.366,2.8,8.2,0.337,1.3,1.6,0.82,0.5,2.1,2.5,0.8,0.3,0.3,0.4,0.8,
520,Alex Karaban,UConn,39,31.3,13.3,4.9,9.9,0.495,2.1,5.5,0.379,1.4,1.6,0.885,1.4,3.6,5.1,1.5,0.9,0.8,0.8,1.7,
521,Skyy Clark,LVILL,29,31.9,13.2,4.4,10.6,0.412,1.6,4.6,0.353,2.9,3.7,0.776,0.3,2.8,3.1,3,1,0.1,3,2.4,
522,Alex Williams,FRMN,25,26.9,13.2,4.6,10.4,0.438,2.4,5.9,0.399,1.8,2.3,0.759,1.1,3.6,4.8,1,0.7,0,1.7,2.1,
523,"Jeremiah Gambrell, Jr.",ALCST,30,27,13.2,4.4,9.7,0.449,2.5,5.9,0.426,2,2.5,0.8,0.3,2.2,2.4,0.8,1.1,0.2,0.8,1.1,
