Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
Kalib Boone,F,32,23.3,11.4,4.6,7.8,59,0,0,0,2.2,3.2,69.6,5.2,1.3,1.1,1.6,1.9
Brian Taylor,G,32,35.1,11.4,4.4,10,44.2,0.7,2.9,22.8,1.9,2.6,75.6,8.1,1.5,0.9,1.2,1.4
Tibet Gorener,F,32,33.4,11.4,4,10.1,39.5,2,5.8,33.9,1.4,2,73,3.9,0.8,0.5,0.3,1.1
Darrion Williams,F,33,32.6,11.4,4,8,49.4,1.3,2.9,45.8,2.1,2.4,87.5,7.5,2.5,1.2,0.3,1.6
C.J. Jones,G,33,33.4,11.4,4.5,10.7,42.5,0.9,2.5,37.8,1.4,2.2,61.6,3.5,4.8,0.9,0.4,2.8
Kylan Blackmon,G,31,33.3,11.4,3.5,8.8,39.6,1.8,5.1,35.8,2.6,3.8,67.2,3.1,1.6,1.2,0.2,1.3
Darnell Brodie,F,34,25.2,11.4,4.7,7.5,62.5,0,0,0,2,3,65,7.9,1.9,0.6,0.6,1.9
Michael Imariagbe,F,29,28.3,11.4,4.5,8.4,53.1,0.1,0.4,18.2,2.3,4.2,55.7,8.5,1,0.6,1,2.3
Bryan Antoine,G,32,29.5,11.4,3.6,9.1,39.7,1.7,4.3,39.9,2.5,2.8,88.8,3.6,1.7,1.4,0.7,1.2
Ezra Ausar,F,32,26.3,11.4,3.6,6.9,51.4,0.2,0.5,37.5,4.1,6.2,65.3,4.7,1,0.8,0.5,2.1
Otega Oweh,G,32,24.8,11.4,4.3,8.6,49.3,0.6,1.7,37.7,2.3,3.5,64.3,3.8,1,1.5,0.4,1.8
Daniel Rouzan,F,27,29.6,11.4,5,9.5,52.7,0,0,0,1.4,2.1,63.8,4.6,1.8,0.4,0.6,1.5
Dishon Jackson,C,30,26.4,11.4,4.4,8,54.4,0.1,0.5,13.3,2.6,3.6,72,6.1,1.7,0.6,0.9,1.3
Byron Ireland,G,28,29.6,11.4,4,9.3,43.2,0.9,2.7,31.6,2.5,3.2,78.7,4,2.2,1.4,0.1,2.3
DJ Richards Jr.,G,34,25.5,11.4,3.6,7.7,46.6,2.4,5.4,45.1,1.7,2.2,79.7,2.2,0.7,1,0.1,0.5
Darin Green Jr.,G,32,30,11.3,4.1,10,40.6,2.4,6.4,38,0.8,1.1,71.4,3,1,1.4,0.1,1.1
Nick Ellington,F,32,27.4,11.3,4.8,8.1,58.8,0,0,0,1.8,3.5,51.4,6.3,0.7,0.8,1.5,1.8
