RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
115,Tre Mann,Cha,*,G,24.1,13,24.5,25.9,13.4,21,0.905,101,0.455,60,0.4,0.509,0.537,14.1,2.9,3,0.5,0.3,1.9,17,17.1,20,8.1,105.6,113.1
116,Jakob Poeltl,Tor,*,C,29.4,49,30.3,18.3,15.6,131,0.672,490,0.614,2,0,0.612,0.628,14.1,9.8,2.8,1.2,1.2,1.9,23.9,16.9,26.7,9.6,120.9,105.9
117,Dyson Daniels,Atl,*,G,22,57,34,18,13.2,112,0.589,515,0.528,182,0.341,0.524,0.533,14,5.6,4.1,3,0.8,1.9,19.6,18,23.6,8.1,108.1,109.1
118,P.J. Washington,Dal,*,F,26.5,47,32.2,19.8,13.9,150,0.74,348,0.466,198,0.374,0.5,0.537,14,8.1,2.3,1.2,1.1,1.9,22.1,16.3,24.4,7.9,106.5,108
119,Amen Thompson,Hou,*,G-F,22.1,58,32.4,17.3,17.3,222,0.703,499,0.589,76,0.263,0.563,0.598,13.9,8.3,3.5,1.4,1.3,2.1,22.1,17.4,25.7,9.1,119.1,105.1
120,Payton Pritchard,Bos,*,G,27.1,60,27.9,18.5,8.8,62,0.839,159,0.635,464,0.416,0.627,0.64,13.9,3.7,3.4,0.9,0.2,1,17.6,17.3,21,8,131.2,110.1
121,Tobias Harris,Det,*,F,32.6,59,32,17.6,9.2,131,0.878,443,0.54,219,0.338,0.529,0.566,13.8,5.9,2.3,0.9,0.8,1.1,19.7,16.1,22,7.2,115.4,110.3
122,Klay Thompson,Dal,*,G,35.1,54,27.2,21.5,10.2,50,0.88,228,0.443,416,0.401,0.546,0.561,13.8,3.5,2,0.8,0.5,1.4,17.3,15.8,19.3,6.7,108.8,114.8
123,D'Angelo Russell,Bro,*,G,29,18,24.1,27.3,16,62,0.887,90,0.467,115,0.313,0.468,0.532,13.7,2.7,5.7,1.2,0.8,2.2,16.4,19.4,22.1,9.9,110.7,110.2
124,Jarrett Allen,Cle,*,C,26.9,61,28.5,15.6,13.1,197,0.746,476,0.716,3,0,0.712,0.733,13.6,10.3,2,0.9,0.9,1.2,23.9,15.6,25.9,9.2,143,105.7
125,Dillon Brooks,Hou,*,G-F,29.1,58,32.1,17.3,7.9,99,0.818,325,0.437,358,0.388,0.513,0.538,13.5,3.9,1.6,0.8,0.2,1,17.4,15.1,19,5.5,114,105.1
126,Bobby Portis,Mil,*,F,30.1,47,24.7,24.1,9.1,67,0.821,392,0.505,165,0.364,0.517,0.538,13.4,8.1,2.2,0.7,0.5,1.2,21.6,15.6,23.7,10,110,104.6
