Date,Price,Open,High,Low,Vol.,Change %
5/28/1995,4444.39,4376.95,4488.66,4352.40,115.28M,1.73%
5/21/1995,4368.99,4348.25,4458.57,4341.33,144.66M,0.64%
5/14/1995,4341.33,4423.29,4446.12,4311.24,168.15M,-2.01%
5/7/1995,4430.55,4337.18,4435.05,4335.10,165.29M,2.01%
4/30/1995,4343.40,4316.43,4410.50,4301.56,160.63M,0.51%
4/23/1995,4321.27,4265.24,4328.53,4255.91,146.67M,1.20%
4/16/1995,4270.08,4231.70,4270.43,4156.65,166.09M,1.47%
4/9/1995,4208.18,4181.21,4221.32,4180.86,97.42M,0.37%
4/2/1995,4192.62,4159.42,4224.09,4155.96,137.36M,0.84%
3/26/1995,4157.69,4146.62,4198.84,4111.69,152.52M,0.46%
3/19/1995,4138.66,4080.57,4139.36,4060.51,146.01M,1.60%
3/12/1995,4073.65,4032.49,4080.22,4019.70,165.66M,0.94%
3/5/1995,4035.60,3970.93,4048.40,3945.69,146.04M,1.15%
2/26/1995,3989.61,4001.02,4021.23,3959.18,140.61M,-0.55%
2/19/1995,4011.74,3960.94,4020.49,3952.53,123.80M,1.47%
2/12/1995,3953.54,3937.39,3997.95,3935.03,128.33M,0.37%
2/5/1995,3939.07,3923.93,3953.54,3920.57,133.02M,0.27%
1/29/1995,3928.64,3850.92,3944.46,3817.26,179.85M,1.83%
1/22/1995,3857.99,3836.46,3891.30,3838.48,167.81M,-0.30%
1/15/1995,3869.43,3916.87,3936.72,3847.22,135.34M,-1.00%
1/8/1995,3908.45,3853.62,3910.14,3840.16,131.49M,1.06%
1/1/1995,3867.41,3831.41,3887.26,3827.71,107.71M,0.86%
12/25/1994,3834.44,3844.20,3866.40,3826.03,67.10M,0.03%
12/18/1994,3833.43,3794.07,3846.89,3700.94,122.87M,0.69%
12/11/1994,3807.18,3686.74,3807.19,3682.03,166.11M,3.14%
12/4/1994,3691.11,3749.66,3762.78,3655.11,127.99M,-1.46%
11/27/1994,3745.62,3708.95,3763.11,3690.44,125.85M,1.01%
11/20/1994,3708.27,3826.03,3833.43,3638.83,117.08M,-2.80%
11/13/1994,3815.26,3808.87,3856.31,3784.90,157.56M,0.36%
11/6/1994,3801.46,3807.52,3868.76,3795.41,138.89M,-0.16%
10/30/1994,3807.52,3928.64,3937.05,3807.52,155.16M,-3.13%
10/23/1994,3930.66,3892.98,3931.67,3832.42,170.55M,1.01%
