RANK,PLAYER,COLLEGE,POS,GP,MIN,PTS,FGM,FGA,FG%,0.625,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
91,KyKy Tandy,FAU,G,32,31.5,17.8,5.9,14.2,41.9,2.6,6.8,38.9,3.3,3.8,88.4,2.6,1.4,1.1,0.1,2.3
92,Darlinstone Dubar,TENN,G,33,34.6,17.8,6.8,12.5,53.9,2.2,5.5,39.9,2.1,2.8,73.4,6.8,1.4,1.2,0.9,1.4
93,Jarod Lucas,NEV,G,34,32.7,17.8,5.4,12.7,42.1,2.4,6,39.4,4.7,5.3,89.9,2.8,1.4,0.8,0,0.9
94,TY Johnson,UCD,G,32,30.6,17.8,5.9,13.3,44.3,1.1,3.4,32.1,4.9,6.4,77.1,3.7,3.3,1.8,0.1,2.9
95,Great Osobor,WASH,F,35,33.7,17.7,6.2,10.8,57.7,0.1,0.4,21.4,5.2,8.1,63.7,9,2.8,1.3,1.4,2.8
96,Rashad Williams,UAPB,G,29,30.6,17.7,5.8,14.2,40.4,3.6,8.9,40.5,2.6,3.1,82.4,1.9,3,0.8,0,2.7
97,Sean East II,MIZ,G,30,34.4,17.6,6.2,12,52.1,1.2,2.7,45,4,4.6,85.6,3.5,4,1.1,0.2,3
97,Dakota Leffew,UGA,G,30,35.5,17.6,6.5,15.1,43,2.5,6.8,36.5,2.2,2.8,76.5,4.3,3.9,1.5,0.6,2.9
99,Walter Clayton Jr.,FLA,G,36,31,17.6,5.6,13,43.2,2.6,7.1,36.5,3.8,4.3,87.7,3.6,2.6,1.1,0.6,2.2
100,Dawson Garcia,MINN,F,31,31.9,17.6,6,12.4,48.6,0.9,2.9,31.9,4.6,5.7,80.2,6.7,1.6,0.8,1,2
