Team,CONF,W,L,FPI,RK,TREND,PROJ W-L,WIN OUT%,6WINS%,WIN DIV%,WIN CONF%,PLAYOFF%,MAKE NC%,WIN NC%
Tulane Green Wave,American,9,5,9.2,32,5,9.0-5.0,0,100,0,0,0,0,0
Kansas Jayhawks,Big 12,5,7,9.1,33,2,5.0-7.0,0,0,0,0,0,0,0
Arkansas Razorbacks,SEC,7,6,9,34,2,7.0-6.0,0,100,0,0,0,0,0
TCU Horned Frogs,Big 12,9,4,9,35,2,9.0-4.0,0,100,0,0,0,0,0
Baylor Bears,Big 12,8,5,9,36,3,8.0-5.0,0,100,0,0,0,0,0
Virginia Tech Hokies,ACC,6,7,7.9,37,3,6.0-7.0,0,100,0,0,0,0,0
Nebraska Cornhuskers,Big Ten,7,6,6.9,38,3,7.0-6.0,0,100,0,0,0,0,0
Vanderbilt Commodores,SEC,7,6,6.7,39,--,7.0-6.0,0,100,0,0,0,0,0
UNLV Rebels,Mountain West,11,3,6.6,40,2,11.0-3.0,0,100,0,0,0,0,0
Georgia Tech Yellow Jackets,ACC,7,6,6.5,41,3,7.0-6.0,0,100,0,0,0,0,0
Illinois Fighting Illini,Big Ten,10,3,6.5,42,2,10.0-3.0,0,100,0,0,0,0,0
Washington Huskies,Big Ten,6,7,6,43,2,6.0-7.0,0,100,0,0,0,0,0
Texas Tech Red Raiders,Big 12,8,5,5.6,44,4,8.0-5.0,0,100,0,0,0,0,0
UCF Knights,Big 12,4,8,5.5,45,2,4.0-8.0,0,0,0,0,0,0,0
Utah Utes,Big 12,5,7,5.3,46,--,5.0-7.0,0,0,0,0,0,0,0
Wisconsin Badgers,Big Ten,5,7,5.1,47,1,5.0-7.0,0,0,0,0,0,0,0
Kentucky Wildcats,SEC,4,8,4.7,48,1,4.0-8.0,0,0,0,0,0,0,0
Syracuse Orange,ACC,10,3,4.5,49,3,10.0-3.0,0,100,0,0,0,0,0
Army Black Knights,American,12,2,4.4,50,4,12.0-2.0,0,100,0,100,0,0,0
Rutgers Scarlet Knights,Big Ten,7,6,4.4,51,2,7.0-6.0,0,100,0,0,0,0,0
Boston College Eagles,ACC,7,6,4.2,52,5,7.0-6.0,0,100,0,0,0,0,0
Cincinnati Bearcats,Big 12,5,7,3.5,53,3,5.0-7.0,0,0,0,0,0,0,0
California Golden Bears,ACC,6,7,3.4,54,4,6.0-7.0,0,100,0,0,0,0,0
UCLA Bruins,Big Ten,5,7,3.2,55,4,5.0-7.0,0,0,0,0,0,0,0
Pittsburgh Panthers,ACC,7,6,2.9,56,5,7.0-6.0,0,100,0,0,0,0,0
Memphis Tigers,American,11,2,2.7,57,5,11.0-2.0,0,100,0,0,0,0,0
